strategy,buy_hold
1.0021467763930756,1.0038028610391625
1.0021949747768204,1.0028705932714874
1.000904977649933,1.0076547676030816
1.0007299442791495,1.007787465168135
1.0006701734748304,1.0081110712982304
1.0005973504178818,1.0076456648518792
1.0010966260038445,1.0108352550048583
1.0005057738954426,1.0070505744228038
1.0004074081193262,1.0064224845879224
0.9993041278480747,1.0119248859079764
0.9987746762144543,1.0142189133469872
0.9985682587630568,1.0146811442802999
0.9993155631436307,1.02020862932052
1.0007341497774314,1.0113955566650608
1.0007931055159687,1.01035391033556
1.0004783107648096,1.009045101272293
1.000888679251772,1.0066280560000394
1.000685353905075,1.0060354541367333
1.00224622844913,1.0191190784942896
1.002075818128251,1.0187927867419582
1.0018981617241276,1.0190897016360674
1.0021603252670106,1.0216519209542827
1.0017043949363467,1.0231472999003497
1.0032384287996454,1.0136566133864395
0.9990028091754971,0.9926389494138985
0.9985221825603774,0.9903042442067662
0.9964204617632313,0.999524352081441
0.9976652833604618,0.9935177131493759
0.9959360624571362,1.0010120724886993
0.9959777625292865,1.000013102238126
0.9945614801748347,0.9931560875671922
0.9944469638688244,0.9929491669978281
0.9966922953698687,1.0050264374373568
0.9964159693197514,1.005648088431744
0.9969501097391198,1.0092169172155405
0.9972095330986045,1.0110733480339553
0.997416741264219,1.0119933162691725
0.9972700772971145,1.0119926347026593
0.9961407047670339,1.0174431178491246
0.9960410669805534,1.01730002102715
0.9960396685293031,1.0180058765956057
0.9953346433783966,1.020720251755456
0.9948781880073053,1.022946477243581
0.9949331834418296,1.0238998154631498
0.9948661480245475,1.0235688775097593
0.9942109130178619,1.0207028079853973
0.9937674569513933,1.0186856651660372
0.9922133900967709,1.0092929339035948
0.9916951983171939,1.0115341603813548
0.9922000181195496,1.0144028738518145
0.9929060354817697,1.0102599022223562
0.9899823867356987,1.0244075219281752
0.990074418525902,1.0230462198130845
0.9898691257676759,1.0235163649887153
0.9896243588080489,1.0242171906277346
0.989753860548671,1.0225935749345052
0.9895468799816974,1.0233995623007535
0.9880353871820717,1.034523739715506
0.9887271545815656,1.0386719454033402
0.9886597303321669,1.0383409736518372
0.9887754622469054,1.03991054216085
0.989576737800588,1.0459844462889718
0.9891505606224382,1.0444838707198116
0.9913041284193144,1.0329376179893954
0.99146441344721,1.032143301910209
0.993663236631686,1.0151313619016917
0.9924947289311385,1.007565263989959
0.9936152553708603,1.00049857357162
0.9924938117567261,1.0068133928187126
0.992101498589276,1.0054976817814405
0.9920315588906992,1.0056423335053966
0.9921289811541768,1.0042355879297262
0.9926231975601351,1.0088849470862122
0.9929980041940032,1.006366979965398
0.9925359907644965,1.0033775937728875
0.9910102823432673,0.9962494442504242
0.9912796603360453,0.9990831466189279
0.9909541028106343,0.9964946415735547
0.9928592603707672,0.9866856862880081
0.9924297599481433,0.9852093842082751
0.9925444510614968,0.9837495306621207
0.9938954275040407,0.9766927225333998
0.9926713005812969,0.9812086213088965
0.9933362381659726,0.9847735714313328
