date,fii_net,dii_net,total_net,signal
2007-10-07,583.02,-206.7,376.32,1
2007-10-08,-742.3,-15.64,-757.9399999999999,-1
2007-10-09,-190.15,9.82,-180.33,-1
2007-10-10,1462.29,-696.82,765.4699999999999,1
2007-10-12,-192.12,-230.15,-422.27,-1
2007-10-15,2868.59,-281.11,2587.48,1
2007-10-16,-234.32,-10.05,-244.37,-1
2007-10-17,-2012.06,285.06,-1727.0,-1
2007-10-18,-1130.59,96.02,-1034.57,-1
2007-10-19,-1750.76,186.26,-1564.5,-1
2007-10-22,-1290.86,-15.33,-1306.1899999999998,-1
2007-10-23,390.71,37.64,428.34999999999997,1
2007-10-24,1301.87,383.23,1685.1,1
2007-10-25,-625.34,788.37,163.02999999999997,-1
2007-10-26,-1237.35,965.96,-271.3899999999999,-1
2007-10-29,688.93,634.44,1323.37,1
2007-10-30,-389.12,-177.24,-566.36,-1
2007-10-31,198.74,444.25,642.99,1
2007-11-04,-69.96,0.0,-69.96,-1
2007-11-05,-514.26,440.05,-74.20999999999998,-1
2007-11-06,-26.12,237.12,211.0,-1
2007-11-07,99.34,-315.38,-216.04,1
2007-11-09,256.59,-444.75,-188.16000000000003,1
2007-11-10,794.78,-420.11,374.66999999999996,1
2007-11-12,387.27,341.31,728.5799999999999,1
2007-11-13,-332.84,264.15,-68.69,-1
2007-11-14,163.02,567.04,730.06,1
2007-11-15,-152.83,585.82,432.99,-1
2007-11-16,-363.14,239.72,-123.41999999999999,-1
2007-11-19,-371.04,-63.45,-434.49,-1
2007-11-20,-1800.68,463.95,-1336.73,-1
2007-11-21,-2007.7,630.06,-1377.64,-1
2007-11-22,-2487.71,1341.15,-1146.56,-1
2007-11-23,-541.88,525.86,-16.019999999999982,-1
2007-11-26,50.4,274.06,324.46,1
2007-11-27,-498.35,298.33,-200.02000000000004,-1
2007-11-28,-978.96,331.82,-647.1400000000001,-1
2007-11-29,-1112.96,606.25,-506.71000000000004,-1
2007-11-30,1072.07,688.34,1760.4099999999999,1
2007-12-04,-173.58,0.0,-173.58,-1
2007-12-06,335.3,-80.86,254.44,1
2007-12-07,614.08,28.86,642.94,1
2007-12-09,317.76,-91.32,226.44,1
2007-12-10,315.36,-883.68,-568.3199999999999,1
2007-12-11,-1194.38,65.99,-1128.39,-1
2007-12-12,-385.2,115.83,-269.37,-1
2007-12-13,-401.76,226.65,-175.10999999999999,-1
2007-12-14,-647.1,105.18,-541.9200000000001,-1
2007-12-17,-2151.21,226.86,-1924.35,-1
2007-12-18,-2736.48,659.15,-2077.33,-1
2007-12-19,-1454.06,350.6,-1103.46,-1
2007-12-20,-766.72,890.42,123.69999999999993,-1
2007-12-24,175.78,332.65,508.42999999999995,1
2007-12-26,538.29,448.73,987.02,1
2007-12-27,-702.64,787.92,85.27999999999997,-1
2007-12-28,653.76,166.69,820.45,1
2007-12-31,516.06,-442.99,73.06999999999994,1
2008-01-01,-461.41,306.94,-154.47000000000003,-1
2008-01-02,-126.93,-115.4,-242.33,-1
2008-01-04,-638.86,-289.56,-928.4200000000001,-1
2008-01-07,209.43,162.5,371.93,1
2008-01-08,-587.28,396.34,-190.94,-1
2008-01-09,-241.85,82.62,-159.23,-1
2008-01-10,-274.9,48.65,-226.24999999999997,-1
2008-01-12,28.64,49.19,77.83,1
2008-01-14,-257.66,-193.55,-451.21000000000004,-1
2008-01-15,-365.09,-89.74,-454.83,-1
2008-01-16,-2517.59,188.97,-2328.6200000000003,-1
2008-01-17,-2267.4,734.75,-1532.65,-1
2008-01-18,-2146.92,695.56,-1451.3600000000001,-1
2008-01-21,-3296.73,3399.2,102.4699999999998,-1
2008-01-22,-4265.19,2778.71,-1486.4799999999996,-1
2008-01-23,-3021.54,1291.76,-1729.78,-1
2008-01-24,-2254.93,1117.03,-1137.8999999999999,-1
2008-01-25,208.48,248.35,456.83,1
2008-01-28,-1038.45,597.94,-440.51,-1
2008-01-29,-546.09,98.82,-447.27000000000004,-1
2008-01-30,-911.0,723.11,-187.89,-1
2008-01-31,-3938.0,2160.35,-1777.65,-1
2008-02-01,-628.68,427.11,-201.56999999999994,-1
2008-02-04,-135.65,264.37,128.72,-1
2008-02-05,658.34,-18.0,640.34,1
2008-02-06,-349.84,9.81,-340.03,-1
2008-02-07,-668.43,421.01,-247.41999999999996,-1
2008-02-09,1132.25,209.79,1342.04,1
2008-02-12,-323.01,105.31,-217.7,-1
2008-02-13,9.4,23.59,32.99,1
2008-02-14,60.99,205.03,266.02,1
2008-02-15,261.2,138.66,399.86,1
2008-02-18,-342.08,-134.16,-476.24,-1
2008-02-19,329.25,-48.29,280.96,1
2008-02-20,-266.44,256.18,-10.259999999999991,-1
2008-02-21,209.43,-140.68,68.75,1
2008-02-22,-709.54,105.49,-604.05,-1
2008-02-25,783.86,-316.49,467.37,1
2008-02-26,-31.99,511.33,479.34,-1
2008-02-27,350.45,341.35,691.8,1
2008-02-28,-809.1,732.38,-76.72000000000003,-1
2008-02-29,-334.87,742.79,407.91999999999996,-1
2008-03-01,-244.56,526.65,282.09,-1
2008-03-03,-711.31,80.47,-630.8399999999999,-1
2008-03-04,-393.41,265.39,-128.02000000000004,-1
2008-03-06,-1020.7,262.49,-758.21,-1
2008-03-07,-606.92,526.1,-80.81999999999994,-1
2008-03-10,-1662.26,56.75,-1605.51,-1
2008-03-11,363.55,-97.03,266.52,1
2008-03-12,-452.11,366.24,-85.87,-1
2008-03-13,-108.5,56.44,-52.06,-1
2008-03-14,-358.0,100.33,-257.67,-1
2008-03-17,-658.22,211.48,-446.74,-1
2008-03-18,-1011.05,177.33,-833.7199999999999,-1
2008-03-19,30.54,142.19,172.73,1
2008-03-24,376.13,-253.27,122.85999999999999,1
2008-03-25,1246.12,399.97,1646.09,1
2008-03-26,393.91,-108.65,285.26,1
2008-03-27,247.98,339.84,587.8199999999999,1
2008-03-28,-401.95,729.5,327.55,-1
2008-03-31,-865.79,566.03,-299.76,-1
2008-04-01,16.01,506.85,522.86,1
2008-04-02,163.74,731.83,895.57,1
2008-04-03,-512.33,170.23,-342.1,-1
2008-04-04,-848.57,579.84,-268.73,-1
2008-04-06,-1198.8,419.81,-778.99,-1
2008-04-07,372.35,-97.02,275.33000000000004,1
2008-04-08,-507.81,-46.97,-554.78,-1
2008-04-09,-603.28,431.11,-172.16999999999996,-1
2008-04-11,-15.61,-174.2,-189.81,-1
2008-04-12,307.14,79.24,386.38,1
2008-04-15,-56.52,13.27,-43.25,-1
2008-04-16,-49.89,-90.08,-139.97,-1
2008-04-17,597.53,-59.87,537.66,1
2008-04-21,169.66,111.58,281.24,1
2008-04-22,292.96,-119.54,173.41999999999996,1
2008-04-23,-480.93,70.04,-410.89,-1
2008-04-24,-759.16,442.88,-316.28,-1
2008-04-25,313.09,-75.47,237.61999999999998,1
2008-04-28,-38.33,-166.61,-204.94,-1
2008-04-29,232.18,403.27,635.45,1
2008-04-30,-151.68,-38.58,-190.26,-1
2008-05-02,311.78,-135.16,176.61999999999998,1
2008-05-03,-285.03,-131.68,-416.71,-1
2008-05-05,-236.81,457.16,220.35000000000002,-1
2008-05-06,-1418.34,570.03,-848.31,-1
2008-05-08,-397.67,287.4,-110.27000000000004,-1
2008-05-09,-1857.0,484.77,-1372.23,-1
2008-05-11,216.4,-168.75,47.650000000000006,1
2008-05-12,-4.52,-184.02,-188.54000000000002,-1
2008-05-13,73.93,266.5,340.43,1
2008-05-14,85.12,310.41,395.53000000000003,1
2008-05-15,706.88,363.11,1069.99,1
2008-05-16,475.87,392.1,867.97,1
2008-05-20,-320.5,0.39,-320.11,-1
2008-05-21,-776.63,452.66,-323.96999999999997,-1
2008-05-22,-537.35,415.16,-122.19,-1
2008-05-23,-654.31,750.03,95.72000000000003,-1
2008-05-26,-1337.33,842.05,-495.28,-1
2008-05-27,-496.61,529.69,33.08000000000004,-1
2008-05-28,-883.23,527.98,-355.25,-1
2008-05-29,-1277.63,698.0,-579.6300000000001,-1
2008-05-30,106.38,729.93,836.31,1
2008-06-02,-485.94,357.32,-128.62,-1
2008-06-05,-815.61,295.35,-520.26,-1
2008-06-06,76.65,400.15,476.79999999999995,1
2008-06-08,1815.74,-804.36,1011.38,1
2008-06-10,-1169.33,661.0,-508.3299999999999,-1
2008-06-11,-511.53,351.57,-159.95999999999998,-1
2008-06-13,-116.51,457.33,340.82,-1
2008-06-16,-547.84,293.05,-254.79000000000002,-1
2008-06-17,142.36,420.08,562.44,1
2008-06-18,-435.0,193.64,-241.36,-1
2008-06-19,-598.36,141.07,-457.29,-1
2008-06-20,-999.31,563.86,-435.44999999999993,-1
2008-06-23,-665.56,91.75,-573.81,-1
2008-06-24,90.06,475.94,566.0,1
2008-06-25,-363.71,529.87,166.16000000000003,-1
2008-06-26,-667.19,395.64,-271.55000000000007,-1
2008-06-27,-703.11,305.71,-397.40000000000003,-1
2008-06-30,-208.66,724.18,515.52,-1
2008-07-01,-1543.44,327.64,-1215.8000000000002,-1
2008-07-02,-860.35,230.7,-629.6500000000001,-1
2008-07-03,513.04,-66.79,446.24999999999994,1
2008-07-04,346.04,245.93,591.97,1
2008-07-05,88.3,234.83,323.13,1
2008-07-07,-439.57,75.9,-363.66999999999996,-1
